order_year,order_month,monthly_sales,prev_month_sales,mom_growth_pct
2014,1,14236.9,,
2014,2,4519.89,14236.9,-68.25
2014,3,55691.01,4519.89,1132.13
2014,4,28295.35,55691.01,-49.19
2014,5,23648.29,28295.35,-16.42
2014,6,34595.13,23648.29,46.29
2014,7,33946.39,34595.13,-1.88
2014,8,27909.47,33946.39,-17.78
2014,9,81777.35,27909.47,193.01
2014,10,31453.39,81777.35,-61.54
2014,11,78628.72,31453.39,149.98
2014,12,69545.62,78628.72,-11.55
2015,1,18174.08,69545.62,-73.87
2015,2,11951.41,18174.08,-34.24
2015,3,38726.25,11951.41,224.03
2015,4,34195.21,38726.25,-11.7
2015,5,30131.69,34195.21,-11.88
2015,6,24797.29,30131.69,-17.7
2015,7,28765.33,24797.29,16.0
2015,8,36898.33,28765.33,28.27
2015,9,64595.92,36898.33,75.06
2015,10,31404.92,64595.92,-51.38
2015,11,75972.56,31404.92,141.91
2015,12,74919.52,75972.56,-1.39
2016,1,18542.49,74919.52,-75.25
2016,2,22978.82,18542.49,23.93
2016,3,51715.88,22978.82,125.06
2016,4,38750.04,51715.88,-25.07
2016,5,56987.73,38750.04,47.06
2016,6,40344.53,56987.73,-29.2
2016,7,39261.96,40344.53,-2.68
2016,8,31115.37,39261.96,-20.75
2016,9,73410.02,31115.37,135.93
2016,10,59687.75,73410.02,-18.69
2016,11,79411.97,59687.75,33.05
2016,12,96999.04,79411.97,22.15
2017,1,43971.37,96999.04,-54.67
2017,2,20301.13,43971.37,-53.83
2017,3,58872.35,20301.13,190.0
2017,4,36521.54,58872.35,-37.96
2017,5,44261.11,36521.54,21.19
2017,6,52981.73,44261.11,19.7
2017,7,45264.42,52981.73,-14.57
2017,8,63120.89,45264.42,39.45
2017,9,87866.65,63120.89,39.2
2017,10,77776.92,87866.65,-11.48
2017,11,118447.83,77776.92,52.29
2017,12,83829.32,118447.83,-29.23
